round,Name,hole,strokes,par
1,"Kim, S.W.",14,2,3
1,"Kim, S.W.",15,4,4
1,"Kim, S.W.",16,4,5
1,"Kim, S.W.",17,3,4
1,"Kim, S.W.",18,4,4
1,Kirk,1,3,4
1,Kirk,2,4,4
1,Kirk,3,5,5
1,Kirk,4,4,3
1,Kirk,5,3,4
1,Kirk,6,3,4
1,Kirk,7,4,4
1,Kirk,8,3,3
1,Kirk,9,4,4
1,Kirk,10,4,4
1,Kirk,11,2,3
1,Kirk,12,4,4
1,Kirk,13,4,4
1,Kirk,14,3,3
1,Kirk,15,4,4
1,Kirk,16,5,5
1,Kirk,17,4,4
1,Kirk,18,5,4
1,Kitayama,1,4,4
1,Kitayama,2,3,4
1,Kitayama,3,4,5
1,Kitayama,4,3,3
1,Kitayama,5,4,4
1,Kitayama,6,4,4
1,Kitayama,7,4,4
1,Kitayama,8,3,3
1,Kitayama,9,4,4
1,Kitayama,10,5,4
1,Kitayama,11,3,3
1,Kitayama,12,5,4
1,Kitayama,13,3,4
1,Kitayama,14,3,3
1,Kitayama,15,5,4
1,Kitayama,16,5,5
1,Kitayama,17,4,4
1,Kitayama,18,3,4
1,Knapp,1,4,4
1,Knapp,2,5,4
1,Knapp,3,4,5
1,Knapp,4,3,3
1,Knapp,5,5,4
1,Knapp,6,3,4
1,Knapp,7,3,4
1,Knapp,8,4,3
1,Knapp,9,5,4
1,Knapp,10,4,4
1,Knapp,11,5,3
1,Knapp,12,3,4
1,Knapp,13,4,4
1,Knapp,14,4,3
1,Knapp,15,4,4
1,Knapp,16,4,5
1,Knapp,17,4,4
1,Knapp,18,4,4
1,Lee,1,4,4
1,Lee,2,4,4
1,Lee,3,5,5
1,Lee,4,3,3
1,Lee,5,4,4
1,Lee,6,4,4
1,Lee,7,5,4
1,Lee,8,4,3
1,Lee,9,5,4
1,Lee,10,3,4
1,Lee,11,3,3
1,Lee,12,4,4
1,Lee,13,7,4
1,Lee,14,3,3
1,Lee,15,4,4
1,Lee,16,4,5
1,Lee,17,5,4
1,Lee,18,5,4
1,Lowry,1,4,4
1,Lowry,2,4,4
1,Lowry,3,4,5
1,Lowry,4,3,3
1,Lowry,5,5,4
1,Lowry,6,5,4
1,Lowry,7,4,4
1,Lowry,8,3,3
1,Lowry,9,4,4
1,Lowry,10,4,4
1,Lowry,11,3,3
1,Lowry,12,5,4
1,Lowry,13,5,4
1,Lowry,14,3,3
1,Lowry,15,4,4
1,Lowry,16,5,5
1,Lowry,17,4,4
1,Lowry,18,4,4
1,MacIntyre,1,4,4
1,MacIntyre,2,4,4
1,MacIntyre,3,4,5
1,MacIntyre,4,3,3
1,MacIntyre,5,4,4
1,MacIntyre,6,4,4
1,MacIntyre,7,4,4
1,MacIntyre,8,3,3
1,MacIntyre,9,5,4
1,MacIntyre,10,5,4
1,MacIntyre,11,2,3
1,MacIntyre,12,3,4
1,MacIntyre,13,4,4
1,MacIntyre,14,3,3
1,MacIntyre,15,3,4
1,MacIntyre,16,4,5
1,MacIntyre,17,4,4
1,MacIntyre,18,4,4
1,Matsuyama,1,4,4
1,Matsuyama,2,4,4
1,Matsuyama,3,5,5
1,Matsuyama,4,3,3
1,Matsuyama,5,5,4
1,Matsuyama,6,4,4
1,Matsuyama,7,4,4
1,Matsuyama,8,3,3
1,Matsuyama,9,3,4
1,Matsuyama,10,5,4
1,Matsuyama,11,3,3
1,Matsuyama,12,3,4
1,Matsuyama,13,4,4
1,Matsuyama,14,2,3
1,Matsuyama,15,4,4
1,Matsuyama,16,5,5
1,Matsuyama,17,5,4
1,Matsuyama,18,3,4
1,McCarthy,1,4,4
1,McCarthy,2,4,4
1,McCarthy,3,4,5
1,McCarthy,4,3,3
1,McCarthy,5,7,4
1,McCarthy,6,4,4
1,McCarthy,7,4,4
1,McCarthy,8,3,3
1,McCarthy,9,3,4
1,McCarthy,10,4,4
1,McCarthy,11,3,3
1,McCarthy,12,4,4
1,McCarthy,13,4,4
1,McCarthy,14,3,3
1,McCarthy,15,3,4
1,McCarthy,16,5,5
1,McCarthy,17,5,4
1,McCarthy,18,3,4
1,McNealy,1,5,4
1,McNealy,2,3,4
1,McNealy,3,5,5
1,McNealy,4,2,3
1,McNealy,5,5,4
1,McNealy,6,3,4
1,McNealy,7,4,4
1,McNealy,8,3,3
1,McNealy,9,3,4
1,McNealy,10,4,4
1,McNealy,11,3,3
1,McNealy,12,3,4
1,McNealy,13,4,4
1,McNealy,14,4,3
1,McNealy,15,3,4
1,McNealy,16,4,5
1,McNealy,17,5,4
1,McNealy,18,3,4
1,Morikawa,1,4,4
1,Morikawa,2,3,4
1,Morikawa,3,4,5
1,Morikawa,4,3,3
1,Morikawa,5,4,4
1,Morikawa,6,3,4
1,Morikawa,7,4,4
1,Morikawa,8,3,3
1,Morikawa,9,4,4
1,Morikawa,10,3,4
1,Morikawa,11,3,3
1,Morikawa,12,4,4
1,Morikawa,13,3,4
1,Morikawa,14,3,3
1,Morikawa,15,4,4
1,Morikawa,16,5,5
1,Morikawa,17,4,4
1,Morikawa,18,5,4
1,Novak,1,4,4
1,Novak,2,3,4
1,Novak,3,3,5
1,Novak,4,3,3
1,Novak,5,4,4
1,Novak,6,4,4
1,Novak,7,4,4
1,Novak,8,2,3
1,Novak,9,4,4
1,Novak,10,4,4
1,Novak,11,2,3
1,Novak,12,4,4
1,Novak,13,5,4
1,Novak,14,3,3
1,Novak,15,6,4
1,Novak,16,5,5
1,Novak,17,4,4
1,Novak,18,4,4
1,Pendrith,1,4,4
1,Pendrith,2,4,4
1,Pendrith,3,4,5
1,Pendrith,4,3,3
1,Pendrith,5,4,4
1,Pendrith,6,3,4
1,Pendrith,7,4,4
1,Pendrith,8,3,3
1,Pendrith,9,4,4
1,Pendrith,10,4,4
1,Pendrith,11,3,3
1,Pendrith,12,4,4
1,Pendrith,13,4,4
1,Pendrith,14,4,3
1,Pendrith,15,4,4
1,Pendrith,16,5,5
1,Pendrith,17,5,4
1,Pendrith,18,3,4
1,Poston,1,5,4
1,Poston,2,4,4
1,Poston,3,5,5
1,Poston,4,3,3
1,Poston,5,5,4
1,Poston,6,5,4
1,Poston,7,4,4
1,Poston,8,3,3
1,Poston,9,4,4
1,Poston,10,4,4
1,Poston,11,2,3
1,Poston,12,3,4
1,Poston,13,4,4
1,Poston,14,3,3
1,Poston,15,4,4
1,Poston,16,3,5
1,Poston,17,4,4
1,Poston,18,5,4
1,Potgieter,1,4,4
1,Potgieter,2,4,4
1,Potgieter,3,5,5
1,Potgieter,4,4,3
1,Potgieter,5,4,4
1,Potgieter,6,5,4
1,Potgieter,7,4,4
1,Potgieter,8,3,3
1,Potgieter,9,4,4
1,Potgieter,10,4,4
1,Potgieter,11,3,3
1,Potgieter,12,4,4
1,Potgieter,13,3,4
1,Potgieter,14,3,3
1,Potgieter,15,5,4
1,Potgieter,16,4,5
1,Potgieter,17,3,4
1,Potgieter,18,5,4
1,Rai,1,4,4
1,Rai,2,4,4
1,Rai,3,5,5
1,Rai,4,3,3
1,Rai,5,4,4
1,Rai,6,3,4
1,Rai,7,4,4
1,Rai,8,3,3
1,Rai,9,4,4
1,Rai,10,4,4
1,Rai,11,3,3
1,Rai,12,4,4
1,Rai,13,3,4
1,Rai,14,4,3
1,Rai,15,5,4
1,Rai,16,5,5
1,Rai,17,4,4
1,Rai,18,4,4
1,Riley,1,3,4
1,Riley,2,4,4
1,Riley,3,5,5
1,Riley,4,3,3
1,Riley,5,6,4
1,Riley,6,4,4
1,Riley,7,4,4
1,Riley,8,3,3
1,Riley,9,5,4
1,Riley,10,4,4
1,Riley,11,3,3
1,Riley,12,3,4
1,Riley,13,5,4
1,Riley,14,5,3
1,Riley,15,3,4
1,Riley,16,4,5
1,Riley,17,4,4
1,Riley,18,4,4
1,Rodgers,1,4,4
1,Rodgers,2,4,4
1,Rodgers,3,3,5
1,Rodgers,4,2,3
1,Rodgers,5,5,4
1,Rodgers,6,4,4
1,Rodgers,7,5,4
1,Rodgers,8,3,3
1,Rodgers,9,4,4
1,Rodgers,10,5,4
1,Rodgers,11,3,3
1,Rodgers,12,4,4
1,Rodgers,13,4,4
1,Rodgers,14,4,3
1,Rodgers,15,4,4
1,Rodgers,16,5,5
1,Rodgers,17,4,4
1,Rodgers,18,4,4
1,Rose,1,4,4
1,Rose,2,4,4
1,Rose,3,4,5
1,Rose,4,3,3
1,Rose,5,4,4
1,Rose,6,4,4
1,Rose,7,3,4
1,Rose,8,2,3
1,Rose,9,4,4
1,Rose,10,3,4
1,Rose,11,2,3
1,Rose,12,3,4
1,Rose,13,5,4
1,Rose,14,3,3
1,Rose,15,4,4
1,Rose,16,4,5
1,Rose,17,4,4
1,Rose,18,4,4
1,Schauffele,1,3,4
1,Schauffele,2,4,4
1,Schauffele,3,4,5
1,Schauffele,4,3,3
1,Schauffele,5,5,4
1,Schauffele,6,4,4
1,Schauffele,7,4,4
1,Schauffele,8,3,3
1,Schauffele,9,4,4
1,Schauffele,10,4,4
1,Schauffele,11,3,3
1,Schauffele,12,4,4
1,Schauffele,13,5,4
1,Schauffele,14,3,3
1,Schauffele,15,3,4
1,Schauffele,16,4,5
1,Schauffele,17,4,4
1,Schauffele,18,4,4
1,Scheffler,1,4,4
1,Scheffler,2,3,4
1,Scheffler,3,4,5
1,Scheffler,4,3,3
1,Scheffler,5,4,4
1,Scheffler,6,4,4
1,Scheffler,7,4,4
1,Scheffler,8,3,3
1,Scheffler,9,4,4
1,Scheffler,10,3,4
1,Scheffler,11,3,3
1,Scheffler,12,4,4
1,Scheffler,13,4,4
1,Scheffler,14,2,3
1,Scheffler,15,4,4
1,Scheffler,16,5,5
1,Scheffler,17,4,4
1,Scheffler,18,5,4
1,Schmid,1,5,4
1,Schmid,2,4,4
1,Schmid,3,3,5
1,Schmid,4,2,3
1,Schmid,5,6,4
1,Schmid,6,7,4
1,Schmid,7,4,4
1,Schmid,8,3,3
1,Schmid,9,5,4
1,Schmid,10,4,4
1,Schmid,11,3,3
1,Schmid,12,3,4
1,Schmid,13,4,4
1,Schmid,14,3,3
1,Schmid,15,4,4
1,Schmid,16,4,5
1,Schmid,17,4,4
1,Schmid,18,3,4
1,Spaun,1,3,4
1,Spaun,2,3,4
1,Spaun,3,5,5
1,Spaun,4,3,3
1,Spaun,5,5,4
1,Spaun,6,4,4
1,Spaun,7,4,4
1,Spaun,8,3,3
1,Spaun,9,4,4
1,Spaun,10,4,4
1,Spaun,11,3,3
1,Spaun,12,4,4
1,Spaun,13,5,4
1,Spaun,14,3,3
1,Spaun,15,3,4
